table_name,column_name,data_type,is_nullable
article_comments,id,uuid,NO
article_comments,article_id,uuid,YES
article_comments,user_id,uuid,YES
article_comments,content,text,NO
article_comments,created_at,timestamp with time zone,YES
articles,id,uuid,NO
articles,title,text,NO
articles,slug,text,NO
articles,content,text,YES
articles,excerpt,text,YES
articles,category,text,YES
articles,cover_image,text,YES
articles,status,text,YES
articles,author_id,uuid,YES
articles,published_at,timestamp with time zone,YES
articles,created_at,timestamp with time zone,YES
articles,updated_at,timestamp with time zone,YES
articles,views_count,integer,YES
articles,likes_count,integer,YES
articles,shares_count,integer,YES
articles,comments_count,integer,YES
articles,tags,ARRAY,YES
articles,is_featured,boolean,YES
auth_users_view,id,uuid,YES
auth_users_view,email,character varying,YES
auth_users_view,created_at,timestamp with time zone,YES
categories,id,uuid,NO
categories,name,text,NO
categories,slug,text,NO
categories,created_at,timestamp with time zone,YES
categories,updated_at,timestamp with time zone,YES
disposisi_surat_masuk,id_disposisi,integer,NO
disposisi_surat_masuk,id_surat_masuk,integer,NO
disposisi_surat_masuk,id_desa_pamong,integer,YES
disposisi_surat_masuk,disposisi_ke,character varying,YES
identitas_desa,id,bigint,NO
identitas_desa,nama_desa,text,NO
identitas_desa,kode_desa,text,NO
identitas_desa,kode_pos,text,YES
identitas_desa,nama_kecamatan,text,NO
identitas_desa,kode_kecamatan,text,NO
identitas_desa,nama_kepala_camat,text,YES
identitas_desa,nip_kepala_camat,text,YES
identitas_desa,nama_kabupaten,text,NO
identitas_desa,kode_kabupaten,text,NO
identitas_desa,nama_provinsi,text,NO
identitas_desa,kode_provinsi,text,NO
identitas_desa,alamat_kantor,text,YES
identitas_desa,email_desa,text,YES
identitas_desa,telepon,text,YES
identitas_desa,website,text,YES
identitas_desa,kantor_desa,text,YES
identitas_desa,logo,text,YES
identitas_desa,lat,text,YES
identitas_desa,lng,text,YES
identitas_desa,zoom,integer,YES
identitas_desa,map_tipe,text,YES
identitas_desa,path,text,YES
identitas_desa,warna,text,YES
identitas_desa,created_at,timestamp with time zone,NO
identitas_desa,updated_at,timestamp with time zone,NO
identitas_desa,sebutan_desa,text,YES
identitas_desa,singkatan_desa,text,YES
identitas_desa,sebutan_kabupaten,text,YES
identitas_desa,sebutan_kabupaten_singkat,text,YES
identitas_desa,sebutan_kecamatan,text,YES
identitas_desa,sebutan_kecamatan_singkat,text,YES
identitas_desa,sebutan_dusun,text,YES
identitas_desa,sejarah,text,YES
identitas_desa,visi,text,YES
identitas_desa,misi,text,YES
klasifikasi_surat,id,integer,NO
klasifikasi_surat,kode,character varying,NO
klasifikasi_surat,nama,character varying,NO
klasifikasi_surat,uraian,text,NO
klasifikasi_surat,enabled,integer,NO
log_surat,id,integer,NO
log_surat,id_format_surat,integer,NO
log_surat,id_pend,uuid,YES
log_surat,id_pamong,integer,NO
log_surat,id_user,integer,NO
log_surat,tanggal,timestamp with time zone,YES
log_surat,bulan,character varying,YES
log_surat,tahun,character varying,YES
log_surat,no_surat,character varying,YES
log_surat,nama_surat,character varying,YES
log_surat,lampiran,character varying,YES
